institution,sector,artefacts,objects,library_items,archive_items,object_records,library_records,archive_records
Vindolanda Trust,regional,0,0,0,0,0,0,0
Watts Gallery,regional,12541,0,0,0,7756,4117,668
Wellcome Collection,independent,2250000,250000,2000000,0,0,0,0
Wordsworth Museum Collection,regional,68000,0,0,0,0,0,0
"Aberdeen Archives, Gallery and Museums",regional,247327,0,0,0,151529,0,95798
Aberdeenshire Council Museums,regional,250000,0,0,0,0,0,0
Barnsley Museums,regional,711400,0,0,0,0,0,0
Auchindrain Historic Township,regional,0,0,0,0,0,0,0
Beamish Museum,regional,0,0,0,0,0,0,0
Birmingham Museums Trust,regional,800000,800000,0,0,0,0,0
Black Country Living Museum,regional,80000,80000,0,0,4903,0,0
The Box Plymouth,regional,21691,0,0,0,21691,0,0
Bradford District Museums & Galleries,regional,837837,387837,0,450000,0,0,0
Bristol Museums,regional,2000000,0,0,0,0,0,0
Culture Coventry,regional,1000000,670,0,1000000,109173,0,336877
Culture Perth and Kinross,regional,500000,0,0,0,0,0,0
Culture Trust Luton,regional,1105051,5051,0,1100000,0,0,0
Derby Museums,regional,0,0,0,0,0,0,0
Dumfries and Galloway Council Arts and Museums Service,regional,0,0,0,0,0,0,0
Dundee Heritage Trust,regional,0,0,0,0,0,0,0
East Ayrshire Leisure Trust,regional,0,0,0,0,0,0,0
Elgin Museum,regional,36000,36000,0,0,0,0,0
Glasgow Museums,regional,1000000,1000000,0,0,0,0,0
Groam House Museum,regional,0,0,0,0,0,0,0
Heritage Doncaster,regional,406750,405000,0,0,0,0,0
Highland Folk Museum,regional,10000,10000,0,0,0,0,0
Hull Museums Collections,regional,0,0,0,0,0,0,0
Leeds Museums & Galleries,regional,1300000,1300000,0,0,0,0,0
Leicester Museums,regional,1500000,1500000,0,0,0,0,0
Leicestershire County Council Museum Servive,regional,0,0,0,0,0,0,0
Liverpool Record Office,regional,0,0,0,0,0,0,0
Edinburgh Museums,regional,220000,220000,0,0,0,0,0
Museums Northumberland,regional,25000,25000,0,0,0,0,0
Norfolk Museums Collections,regional,0,0,0,0,0,0,0
Northampton Museums,regional,44024,44024,0,0,0,0,0
Northern Ireland Screen,regional,47,0,0,0,0,0,0
Orkney Museums,regional,100000,0,0,0,0,0,0
Poole Museums,regional,50000,50000,0,0,1489,0,0
Potteries Museum and Art Gallery,regional,1000000,1000000,0,0,1489,0,0
Preston Park Museum & Grounds,regional,100000,100000,0,0,0,0,0
Ripon Museums,regional,9000,9000,0,0,15,0,5
Royal Albert Memorial Museum,regional,1000000,0,0,0,16000,0,0
Salisbury Museum,regional,100000,100000,0,0,0,0,0
Sheffield Museums,regional,1000,0,0,0,1000,0,0
Southampton Cultural Services,regional,0,0,0,0,0,0,0
St Helens Borough Council,regional,0,0,0,0,0,0,0
Sunderland Museum & Winter Gardens' Collection,regional,108000,0,0,0,0,0,0
Tyne & Wear Museums,regional,490107,0,0,0,490107,0,0
Wakefield Museums and Castles Collections,regional,111000,111000,0,0,0,0,0
Weald and Downland Living Museum,regional,15000,15000,0,0,0,0,0
Wiltshire Museum,regional,126410,0,0,0,126410,0,0
